studentRegNo,session,queueName,type,position,stallName
S/17/421,M,Q1,P,1,BRX1
S/18/406,M,Q1,P,2,BRX1
S/18/565,M,Q1,P,3,BRX1
S/18/843,M,Q1,P,4,BRX1
S/18/842,M,Q1,P,5,BRX1
S/18/841,M,Q1,P,6,BRX1
S/18/943,M,Q1,P,7,BRX1
S/18/933,M,Q1,P,8,BRX1
S/19/805,M,Q1,P,9,BRX1
S/19/349,M,Q1,P,10,BRX1
S/19/333,M,Q1,P,11,BRX1
s/19/331,M,Q1,P,12,BRX1
S/17/499,M,Q1,P,13,BRX1
S/19/563,M,Q1,P,14,BRX1
S/19/SP/871,M,Q1,P,15,BRX1
S/19/870,M,Q1,P,16,BRX1
S/19/867,M,Q1,P,17,BRX1
S/19/864,M,Q1,P,18,BRX1
S/19/856,M,Q1,P,19,BRX1
S/19/855,M,Q1,P,20,BRX1
S/18/444,A,Q1,P,21,BRX1
S/18/443,A,Q1,P,22,BRX1
S/18/313,A,Q1,P,23,BRX1
S/18/SP/608,A,Q1,P,24,BRX1
S/18/366,A,Q1,P,25,BRX1
S/18/368,A,Q1,P,26,BRX1
S/18/472,A,Q1,P,27,BRX1
S/18/818,A,Q1,P,28,BRX1
S/19/478,A,Q1,P,29,BRX1
S/17/802,A,Q1,P,30,BRX1
S/17/415,A,Q1,P,31,BRX1
S/17/943,A,Q1,P,32,BRX1
S/18/938,A,Q1,P,33,BRX1
S/19/313,A,Q1,P,34,BRX1
S/19/564,A,Q1,P,35,BRX1
S/19/585,A,Q1,P,36,BRX1
S/19/444,A,Q1,P,37,BRX1
S/19/814,A,Q1,P,38,BRX1
S/19/804,A,Q1,P,39,BRX1
s/18/328,M,Q2,P,1,BRX1
S/18/505,M,Q2,P,2,BRX1
S/18/508,M,Q2,P,3,BRX1
S/18/836,M,Q2,P,4,BRX1
S/18/834,M,Q2,P,5,BRX1
S/18/814,M,Q2,P,6,BRX1
S/18/924,M,Q2,P,7,BRX1
S/18/923,M,Q2,P,8,BRX1
S/19/328,M,Q2,P,9,BRX1
S/19/320,M,Q2,P,10,BRX1
S/19/303,M,Q2,P,11,BRX1
S/18/542,M,Q2,P,12,BRX1
S/19/552,M,Q2,P,13,BRX1
S/19/452,M,Q2,P,14,BRX1
S/19/848,M,Q2,P,15,BRX1
S/19/843,M,Q2,P,16,BRX1
S/19/841,M,Q2,P,17,BRX1
S/19/840,M,Q2,P,18,BRX1
S/19/839,M,Q2,P,19,BRX1
S/19/838,M,Q2,P,20,BRX1
S/18/438,A,Q2,P,21,BRX1
S/18/419,A,Q2,P,22,BRX1
S/18/334,A,Q2,P,23,BRX1
S/18/332,A,Q2,P,24,BRX1
S/18/343,A,Q2,P,25,BRX1
S/18/460,A,Q2,P,26,BRX1
S/18/822,A,Q2,P,27,BRX1
S/18/848,A,Q2,P,28,BRX1
S/18/827,A,Q2,P,29,BRX1
S/19/509,A,Q2,P,30,BRX1
S/19/541,A,Q2,P,31,BRX1
S/18/942,A,Q2,P,32,BRX1
S/19/864,A,Q2,P,33,BRX1
S/19/840,A,Q2,P,34,BRX1
S/19/841,A,Q2,P,35,BRX1
S/19/856,A,Q2,P,36,BRX1
S/19/838,A,Q2,P,37,BRX1
S/19/870,A,Q2,P,38,BRX1
S/18/532,M,Q3,P,1,BRX1
S/18/478,M,Q3,P,2,BRX1
S/18/389,M,Q3,P,3,BRX1
S/18/336,M,Q3,P,4,BRX1
S/18/812,M,Q3,P,5,BRX1
S/18/806,M,Q3,P,6,BRX1
S/18/803,M,Q3,P,7,BRX1
S/18/920,M,Q3,P,8,BRX1
S/19/302,M,Q3,P,9,BRX1
S/18/582 ,M,Q3,P,10,BRX1
s/18/577,M,Q3,P,11,BRX1
s/18/417,M,Q3,P,12,BRX1
S/19/475,M,Q3,P,13,BRX1
S/19/825,M,Q3,P,14,BRX1
S/19/818,M,Q3,P,15,BRX1
S/19/814,M,Q3,P,16,BRX1
S/19/813,M,Q3,P,17,BRX1
S/19/810,M,Q3,P,18,BRX1
S/19/804,M,Q3,P,19,BRX1
S/18/407,A,Q3,P,20,BRX1
S/18/404,A,Q3,P,21,BRX1
S/18/403,A,Q3,P,22,BRX1
S/18/342,A,Q3,P,23,BRX1
S/18/474,A,Q3,P,24,BRX1
S/18/552,A,Q3,P,25,BRX1
S/18/337,A,Q3,P,26,BRX1
S/18/840,A,Q3,P,27,BRX1
S/18/819,A,Q3,P,28,BRX1
S/18/823,A,Q3,P,29,BRX1
S/18/SP/950,A,Q3,P,30,BRX1
S/17/420,A,Q3,P,31,BRX1
S/19/867,A,Q3,P,32,BRX1
S/19/454,A,Q3,P,33,BRX1
S/19/905,A,Q3,P,34,BRX1
S/19/909,A,Q3,P,35,BRX1
S/19/943,A,Q3,P,36,BRX1
S/19/954,A,Q3,P,37,BRX1
