studentRegNo,session,queueName,type,position,stallName
S/18/166,M,Q1,P,1,CG1
S/18/174,M,Q1,P,2,CG1
S/18/181,M,Q1,P,3,CG1
S/18/187,M,Q1,P,4,CG1
S/18/065,M,Q1,P,5,CG1
S/18/161,M,Q1,P,6,CG1
S/18/167,M,Q1,P,7,CG1
S/18/177,M,Q1,P,8,CG1
S/18/052,M,Q1,P,9,CG1
S/18/068,M,Q1,P,10,CG1
S/18/039,M,Q1,P,11,CG1
S/18/168,M,Q1,P,12,CG1
S/18/464,M,Q1,P,13,CG1
S/19/028,M,Q1,P,14,CG1
S/17/148,M,Q1,P,15,CG1
S/17/114,M,Q1,P,16,CG1
S/17/011,M,Q1,P,17,CG1
S/17/134,M,Q1,P,18,CG1
S/19/067,M,Q1,P,19,CG1
S/19/025,M,Q1,P,20,CG1
S/19/202,M,Q1,P,21,CG1
S/19/095,M,Q1,P,22,CG1
S/19/118,M,Q1,P,23,CG1
S/19/127,M,Q1,P,24,CG1
S/19/214,M,Q1,P,25,CG1
S/19/063,M,Q1,P,26,CG1
S/18/029,A,Q1,P,27,CG1
S/18/098,A,Q1,P,28,CG1
S/18/099,A,Q1,P,29,CG1
S/18/139,A,Q1,P,30,CG1
S/18/160,A,Q1,P,31,CG1
S/18/SP/192,A,Q1,P,32,CG1
S/18/011,A,Q1,P,33,CG1
S/18/018,A,Q1,P,34,CG1
S/18/019,A,Q1,P,35,CG1
S/18/096,A,Q1,P,36,CG1
S/18/109,A,Q1,P,37,CG1
S/18/143,A,Q1,P,38,CG1
S/19/154,A,Q1,P,39,CG1
S/19/163,A,Q1,P,40,CG1
S/19/174,A,Q1,P,41,CG1
S/19/200,A,Q1,P,42,CG1
S/19/332,A,Q1,P,43,CG1
S/19/360,A,Q1,P,44,CG1
S/17/SP/080,A,Q1,P,45,CG1
S/17/173,A,Q1,P,46,CG1
S/19/212,A,Q1,P,47,CG1
S/18/092,A,Q1,P,48,CG1
S/19/107,A,Q1,P,49,CG1
S/18/144,M,Q1,P,1,KL1
s/18/002,M,Q1,P,2,KL1
S/18/125,M,Q1,P,3,KL1
S/18/086,M,Q1,P,4,KL1
S/18/040,M,Q1,P,5,KL1
S/18/038,M,Q1,P,6,KL1
S/18/022,M,Q1,P,7,KL1
S/18/042,M,Q1,P,8,KL1
S/18/017,M,Q1,P,9,KL1
S/18/123,M,Q1,P,10,KL1
S/17/182,M,Q1,P,11,KL1
S/18/077,M,Q1,P,12,KL1
S/18/084,M,Q1,P,13,KL1
S/19/045,M,Q1,P,14,KL1
S/19/073,M,Q1,P,15,KL1
S/19/077,M,Q1,P,16,KL1
S/19/066,M,Q1,P,17,KL1
S/19/103,M,Q1,P,18,KL1
S/17/182,M,Q1,P,19,KL1
S/17/162,M,Q1,P,20,KL1
S/17/329,M,Q1,P,21,KL1
S/19/030,M,Q1,P,22,KL1
S/19/094,M,Q1,P,23,KL1
S/19/180,M,Q1,P,24,KL1
S/19/102,M,Q1,P,25,KL1
S/19/096,M,Q1,P,26,KL1
S/18/120,A,Q1,P,27,KL1
S/18/127,A,Q1,P,28,KL1
S/18/145,A,Q1,P,29,KL1
S/18/152,A,Q1,P,30,KL1
S/18/082,A,Q1,P,31,KL1
S/18/023,A,Q1,P,32,KL1
S/18/132,A,Q1,P,33,KL1
S/18/157,A,Q1,P,34,KL1
S/18/009,A,Q1,P,35,KL1
S/18/178,A,Q1,P,36,KL1
S/18/188,A,Q1,P,37,KL1
S/19/363,A,Q1,P,38,KL1
s/19/415,A,Q1,P,39,KL1
S/19/571,A,Q1,P,40,KL1
S/19/584,A,Q1,P,41,KL1
S/17/184,A,Q1,P,42,KL1
S/17/183,A,Q1,P,43,KL1
S/19/038,A,Q1,P,44,KL1
S/18/165,A,Q1,P,45,KL1
S/19/033,A,Q1,P,46,KL1
S/19/026,A,Q1,P,47,KL1
S/19/084,A,Q1,P,48,KL1
S/19/061,A,Q1,P,49,KL1
