name,code,email,address,phone1,status
Kelun Life Sciences (Pvt) Ltd,KL,kelun@vqueue.com,,,absent
Celogen Lanka (Pvt) Ltd,CG,celogen@vqueue.com,,,absent
Sands Active (Pvt) Ltd,SA,sandsactive@vqueue.com,,,absent
Brandix Lanka (Pvt) Ltd,BRX,brandix@vqueue.com,,,
MAS Holdings (Pvt) Ltd,MAS,mas@vqueue.com,,,absent
CodeGen International (Pvt) Ltd,CGN,codegen@vqueue.com,,,absent
Hemas Consumer Brands (Pvt) Ltd,HCB,hemas@vqueue.com,,,absent
Octave (Pvt) Ltd,OC,octave@vqueue.com,,,absent
Emjay International (Pvt) Ltd,EJ,emjay@vqueue.com,,,absent
Lankem (Pvt) Ltd,LK,lankem@vqueue.com,,,absent
HayCarb PLC,HAY,haycarb@vqueue.com,,,absent
North Sails (Pvt) Ltd,NS,northsails@vqueue.com,,,absent
S-Lon Lanka (Pvt) Ltd,SL,slon@vqueue.com,,,absent
MAS Twinery (MAS Innovation (Pvt) Ltd),TW,twinery@vqueue.com,,,absent
My Turn Internship Platform - Website Registration,MT,myturn@vqueue.com,,,absent
