studentRegNo,session,queueName,type,stallName,position
S/18/036,M,Q1,P,EJ1,1
S/18/901,M,Q1,P,EJ1,2
S/18/903,M,Q1,P,EJ1,3
S/18/904,M,Q1,P,EJ1,4
S/18/908,M,Q1,P,EJ1,5
S/18/909,M,Q1,P,EJ1,6
S/18/913,M,Q1,P,EJ1,7
S/18/911,M,Q1,P,EJ1,8
S/18/317,M,Q1,P,EJ1,9
S/18/412,M,Q1,P,EJ1,10
S/18/445,M,Q1,P,EJ1,11
S/19/355,M,Q1,P,EJ1,12
S/19/146,M,Q1,P,EJ1,13
S/19/420,M,Q1,P,EJ1,14
S/19/901,M,Q1,P,EJ1,15
S/19/904,M,Q1,P,EJ1,16
S/19/912,M,Q1,P,EJ1,17
S/19/920,M,Q1,P,EJ1,18
S/19/921,M,Q1,P,EJ1,19
S/19/537,M,Q1,P,EJ1,20
S/18/301,A,Q1,P,EJ1,21
S/18/402,A,Q1,P,EJ1,22
S/18/037,A,Q1,P,EJ1,23
S/18/060,A,Q1,P,EJ1,24
S/18/104,A,Q1,P,EJ1,25
S/18/124,A,Q1,P,EJ1,26
S/18/303,A,Q1,P,EJ1,27
S/18/319,A,Q1,P,EJ1,28
S/18/324,A,Q1,P,EJ1,29
S/18/919,A,Q1,P,EJ1,30
S/18/927,A,Q1,P,EJ1,31
S/18/931,A,Q1,P,EJ1,32
S/18/940,A,Q1,P,EJ1,33
S/18/945,A,Q1,P,EJ1,34
S/18/907,A,Q1,P,EJ1,35
S/18/593,A,Q1,P,EJ1,36
S/17/308,A,Q1,P,EJ1,37
S/19/378,A,Q1,P,EJ1,38
S/19/205,A,Q1,P,EJ1,39
S/19/410,A,Q1,P,EJ1,40
S/19/928,A,Q1,P,EJ1,41
S/19/930,A,Q1,P,EJ1,42
