studentRegNo,session,queueName,type,stallName,position
S/18/187,M,Q1,P,LK1,1
S/18/305,M,Q1,P,LK1,2
S/18/352,M,Q1,P,LK1,3
S/18/385,M,Q1,P,LK1,4
S/18/398,M,Q1,P,LK1,5
S/18/477,M,Q1,P,LK1,6
S/18/938,M,Q1,P,LK1,7
S/18/942,M,Q1,P,LK1,8
S/18/SP/950,M,Q1,P,LK1,9
S/19/103,M,Q1,P,LK1,10
S/19/200,M,Q1,P,LK1,11
S/19/332,M,Q1,P,LK1,12
S/19/360,M,Q1,P,LK1,13
S/19/363,M,Q1,P,LK1,14
S/19/415,M,Q1,P,LK1,15
S/17/943,M,Q1,P,LK1,16
S/19/943,M,Q1,P,LK1,17
S/19/954,M,Q1,P,LK1,18
S/18/011,A,Q1,P,LK1,19
S/18/018,A,Q1,P,LK1,20
S/18/019,A,Q1,P,LK1,21
S/18/096,A,Q1,P,LK1,22
S/18/120,A,Q1,P,LK1,23
S/18/127,A,Q1,P,LK1,24
S/18/145,A,Q1,P,LK1,25
S/18/062,A,Q1,P,LK1,26
S/18/607,A,Q1,P,LK1,27
S/18/917,A,Q1,P,LK1,28
S/18/928,A,Q1,P,LK1,29
S/18/934,A,Q1,P,LK1,30
S/18/920,A,Q1,P,LK1,31
S/19/174,A,Q1,P,LK1,32
S/18/039,A,Q1,P,LK1,33
S/18/168,A,Q1,P,LK1,34
S/18/464,A,Q1,P,LK1,35
S/17/365,A,Q1,P,LK1,36
S/18/518,M,Q2,P,LK1,1
S/18/583,M,Q2,P,LK1,2
S/18/594,M,Q2,P,LK1,3
S/18/603,M,Q2,P,LK1,4
S/18/301,M,Q2,P,LK1,5
S/18/402,M,Q2,P,LK1,6
S/18/347,M,Q2,P,LK1,7
S/18/089,M,Q2,P,LK1,8
S/18/128,M,Q2,P,LK1,9
S/19/571,M,Q2,P,LK1,10
S/19/584,M,Q2,P,LK1,11
S/19/154,M,Q2,P,LK1,12
S/19/163,M,Q2,P,LK1,13
S/19/174,M,Q2,P,LK1,14
S/18/479,M,Q2,P,LK1,15
S/19/905,M,Q2,P,LK1,16
S/19/909,M,Q2,P,LK1,17
S/18/166,A,Q2,P,LK1,18
S/18/174,A,Q2,P,LK1,19
S/18/181,A,Q2,P,LK1,20
S/18/328,A,Q2,P,LK1,21
S/18/448,A,Q2,P,LK1,22
S/18/541,A,Q2,P,LK1,23
S/18/602,A,Q2,P,LK1,24
S/18/360,A,Q2,P,LK1,25
S/18/923,A,Q2,P,LK1,26
S/18/924,A,Q2,P,LK1,27
S/18/933,A,Q2,P,LK1,28
S/18/943,A,Q2,P,LK1,29
S/19/028,A,Q2,P,LK1,30
S/19/066,A,Q2,P,LK1,31
S/19/045,A,Q2,P,LK1,32
S/19/073,A,Q2,P,LK1,33
S/19/077,A,Q2,P,LK1,34
S/17/133,A,Q2,P,LK1,35
