studentRegNo,session,queueName,type,stallName,position
S/18/366,M,Q1,P,MAS1,1
S/18/342,M,Q1,P,MAS1,2
S/18/399,M,Q1,P,MAS1,3
S/18/358,M,Q1,P,MAS1,4
S/18/831,M,Q1,P,MAS1,5
S/18/839,M,Q1,P,MAS1,6
S/18/838,M,Q1,P,MAS1,7
S/18/846,M,Q1,P,MAS1,8
S/18/335,M,Q1,P,MAS1,9
S/18/422,M,Q1,P,MAS1,10
S/18/448,M,Q1,P,MAS1,11
S/18/456,M,Q1,P,MAS1,12
S/18/459,M,Q1,P,MAS1,13
S/19/362,M,Q1,P,MAS1,14
S/19/369,M,Q1,P,MAS1,15
S/19/387,M,Q1,P,MAS1,16
S/19/401,M,Q1,P,MAS1,17
S/19/831,M,Q1,P,MAS1,18
S/19/819,M,Q1,P,MAS1,19
S/19/849,M,Q1,P,MAS1,20
S/19/807,M,Q1,P,MAS1,21
S/19/837,M,Q1,P,MAS1,22
S/18/511,A,Q1,P,MAS2,23
S/18/572,A,Q1,P,MAS2,24
S/18/422,A,Q1,P,MAS2,25
S/18/824,A,Q1,P,MAS2,26
S/18/844,A,Q1,P,MAS2,27
S/18/807,A,Q1,P,MAS2,28
S/18/809,A,Q1,P,MAS2,29
S/18/363,A,Q1,P,MAS2,30
S/19/012,A,Q1,P,MAS2,31
S/19/312,A,Q1,P,MAS2,32
S/19/563,A,Q1,P,MAS2,33
S/19/827,A,Q1,P,MAS2,34
S/19/828,A,Q1,P,MAS2,35
S/19/862,A,Q1,P,MAS2,36
S/19/852,A,Q1,P,MAS2,37
S/19/845,A,Q1,P,MAS2,38
S/19/942,A,Q1,P,MAS2,39
S/19/953,A,Q1,P,MAS2,40
S/19/955,A,Q1,P,MAS2,41
S/18/002,A,Q1,P,MAS2,42
S/19/102,A,Q1,P,MAS2,43
S/18/343,M,Q1,P,MAS1,1
S/18/593,M,Q1,P,MAS1,2
S/18/424,M,Q1,P,MAS1,3
S/18/826,M,Q1,P,MAS1,4
S/18/821,M,Q1,P,MAS1,5
S/18/813,M,Q1,P,MAS1,6
S/18/825,M,Q1,P,MAS1,7
S/18/335,M,Q1,P,MAS1,8
s/18/441,M,Q1,P,MAS1,9
S/18/562,M,Q1,P,MAS1,10
S/18/462,M,Q1,P,MAS1,11
S/18/486,M,Q1,P,MAS1,12
S/18/495,M,Q1,P,MAS1,13
S/18/507,M,Q1,P,MAS1,14
S/19/405,M,Q1,P,MAS1,15
S/19/431,M,Q1,P,MAS1,16
S/18/492,M,Q1,P,MAS1,17
S/19/831,M,Q1,P,MAS1,18
S/19/842,M,Q1,P,MAS1,19
S/19/805,M,Q1,P,MAS1,20
S/19/861,M,Q1,P,MAS1,21
S/18/376,A,Q1,P,MAS2,22
S/18/442,A,Q1,P,MAS2,23
S/18/557,A,Q1,P,MAS2,24
S/18/811,A,Q1,P,MAS2,25
S/18/816,A,Q1,P,MAS2,26
S/18/SP/851,A,Q1,P,MAS2,27
S/18/845,A,Q1,P,MAS2,28
S/19/317,A,Q1,P,MAS2,29
S/19/368,A,Q1,P,MAS2,30
S/17/421,A,Q1,P,MAS2,31
S/19/475,A,Q1,P,MAS2,32
S/19/452,A,Q1,P,MAS2,33
S/19/858,A,Q1,P,MAS2,34
S/19/868,A,Q1,P,MAS2,35
S/19/847,A,Q1,P,MAS2,36
S/19/805,A,Q1,P,MAS2,37
S/19/965,A,Q1,P,MAS2,38
S/19/967,A,Q1,P,MAS2,39
S/19/927,A,Q1,P,MAS2,40
S/17/SP/080,A,Q1,P,MAS2,41
S/17/173,A,Q1,P,MAS2,42
