studentRegNo,session,queueName,type,stallName,position
S/18/440,M,Q1,P,NS1,1
S/18/465,M,Q1,P,NS1,2
S/18/469,M,Q1,P,NS1,3
S/18/480,M,Q1,P,NS1,4
S/18/575,M,Q1,P,NS1,5
S/18/363,M,Q1,P,NS1,6
S/18/919,M,Q1,P,NS1,7
S/18/044,M,Q1,P,NS1,8
S/18/337,M,Q1,P,NS1,9
S/18/SP/608,M,Q1,P,NS1,10
S/19/930,M,Q1,P,NS1,11
S/19/942,M,Q1,P,NS1,12
S/19/953,M,Q1,P,NS1,13
S/19/955,M,Q1,P,NS1,14
S/19/965,M,Q1,P,NS1,15
S/19/967,M,Q1,P,NS1,16
S/19/927,M,Q1,P,NS1,17
S/17/415,M,Q1,P,NS1,18
S/19/313,M,Q1,P,NS1,19
S/18/325,A,Q1,P,NS1,20
S/18/351,A,Q1,P,NS1,21
S/18/353,A,Q1,P,NS1,22
S/18/354,A,Q1,P,NS1,23
S/18/378,A,Q1,P,NS1,24
S/18/391,A,Q1,P,NS1,25
S/18/901,A,Q1,P,NS1,26
S/18/903,A,Q1,P,NS1,27
S/18/904,A,Q1,P,NS1,28
S/18/908,A,Q1,P,NS1,29
S/18/909,A,Q1,P,NS1,30
S/18/532,A,Q1,P,NS1,31
S/18/505,A,Q1,P,NS1,32
S/19/429,A,Q1,P,NS1,33
S/19/453,A,Q1,P,NS1,34
S/19/465,A,Q1,P,NS1,35
S/19/433,A,Q1,P,NS1,36
S/19/435,A,Q1,P,NS1,37
S/19/437,A,Q1,P,NS1,38
S/19/040,A,Q1,P,NS1,39
S/18/927,M,Q2,P,NS1,1
S/18/931,M,Q2,P,NS1,2
S/18/940,M,Q2,P,NS1,3
S/18/945,M,Q2,P,NS1,4
S/18/907,M,Q2,P,NS1,5
S/18/448,M,Q2,P,NS1,6
S/18/409,M,Q2,P,NS1,7
S/18/380,M,Q2,P,NS1,8
S/18/332,M,Q2,P,NS1,9
S/19/012,M,Q2,P,NS1,10
S/19/312,M,Q2,P,NS1,11
S/19/317,M,Q2,P,NS1,12
S/19/368,M,Q2,P,NS1,13
S/19/390,M,Q2,P,NS1,14
S/19/403,M,Q2,P,NS1,15
S/19/928,M,Q2,P,NS1,16
S/17/420,M,Q2,P,NS1,17
S/19/540,M,Q2,P,NS1,18
S/19/454,M,Q2,P,NS1,19
S/18/361,A,Q2,P,NS1,20
S/18/370,A,Q2,P,NS1,21
S/18/377,A,Q2,P,NS1,22
S/18/180,A,Q2,P,NS1,23
S/18/400,A,Q2,P,NS1,24
S/18/440,A,Q2,P,NS1,25
S/18/913,A,Q2,P,NS1,26
S/18/911,A,Q2,P,NS1,27
S/18/917,A,Q2,P,NS1,28
S/18/928,A,Q2,P,NS1,29
S/18/934,A,Q2,P,NS1,30
S/18/406,A,Q2,P,NS1,31
S/19/442,A,Q2,P,NS1,32
S/19/445,A,Q2,P,NS1,33
S/19/451,A,Q2,P,NS1,34
S/19/457,A,Q2,P,NS1,35
S/19/482,A,Q2,P,NS1,36
S/19/485,A,Q2,P,NS1,37
S/19/552,A,Q2,P,NS1,38
