studentRegNo,session,queueName,type,stallName,position
S/18/400,M,Q1,P,OC1,1
S/18/331,M,Q1,P,OC1,2
S/18/484,M,Q1,P,OC1,3
S/18/803,M,Q1,P,OC1,4
S/18/834,M,Q1,P,OC1,5
S/18/846,M,Q1,P,OC1,6
S/18/460,M,Q1,P,OC1,7
S/17/009,M,Q1,P,OC1,8
S/18/317,M,Q1,P,OC1,9
S/18/337,M,Q1,P,OC1,10
S/18/412,M,Q1,P,OC1,11
S/18/532,M,Q1,P,OC1,12
S/18/480,M,Q2,P,OC1,13
S/18/442,M,Q2,P,OC1,14
S/18/572,M,Q2,P,OC1,15
S/18/827,M,Q2,P,OC1,16
S/18/836,M,Q2,P,OC1,17
S/18/389,M,Q2,P,OC1,18
S/18/472,M,Q2,P,OC1,19
S/18/SP/608,M,Q2,P,OC1,20
S/18/332,M,Q2,P,OC1,21
S/18/406,M,Q2,P,OC1,22
S/18/505,M,Q2,P,OC1,23
S/19/444,M,Q2,P,OC1,24
