studentRegNo,session,queueName,type,position,stallName
S/18/029,M,Q1,P,1,SA1
S/18/098,M,Q1,P,2,SA1
S/18/099,M,Q1,P,3,SA1
S/18/139,M,Q1,P,4,SA1
S/18/160,M,Q1,P,5,SA1
S/18/SP/192,M,Q1,P,6,SA1
S/18/011,M,Q1,P,7,SA1
S/18/018,M,Q1,P,8,SA1
S/18/019,M,Q1,P,9,SA1
S/18/096,M,Q1,P,10,SA1
S/18/120,M,Q1,P,11,SA1
S/18/127,M,Q1,P,12,SA1
S/18/145,M,Q1,P,13,SA1
S/18/152,M,Q1,P,14,SA1
S/18/082,M,Q1,P,15,SA1
S/18/023,M,Q1,P,16,SA1
S/18/132,M,Q1,P,17,SA1
S/18/157,M,Q1,P,18,SA1
S/18/009,M,Q1,P,19,SA1
S/17/SP/080,M,Q1,P,20,SA1
S/17/173,M,Q1,P,21,SA1
S/17/184,M,Q1,P,22,SA1
S/17/183,M,Q1,P,23,SA1
S/19/212,M,Q1,P,24,SA1
S/18/092,M,Q1,P,25,SA1
S/19/107,M,Q1,P,26,SA1
S/18/166,A,Q1,P,27,SA1
S/18/174,A,Q1,P,28,SA1
S/18/181,A,Q1,P,29,SA1
S/18/187,A,Q1,P,30,SA1
S/18/144,A,Q1,P,31,SA1
s/18/002,A,Q1,P,32,SA1
S/18/125,A,Q1,P,33,SA1
S/18/086,A,Q1,P,34,SA1
S/18/040,A,Q1,P,35,SA1
S/18/038,A,Q1,P,36,SA1
S/18/022,A,Q1,P,37,SA1
S/17/148,A,Q1,P,38,SA1
S/17/114,A,Q1,P,39,SA1
S/19/067,A,Q1,P,40,SA1
S/19/025,A,Q1,P,41,SA1
S/19/202,A,Q1,P,42,SA1
S/19/095,A,Q1,P,43,SA1
S/19/030,A,Q1,P,44,SA1
S/19/094,A,Q1,P,45,SA1
S/19/180,A,Q1,P,46,SA1
S/19/118,A,Q1,P,47,SA1
S/19/127,A,Q1,P,48,SA1
S/19/214,A,Q1,P,49,SA1
S/19/063,A,Q1,P,50,SA1
S/19/102,A,Q1,P,51,SA1
S/19/096,A,Q1,P,52,SA1
