studentRegNo,session,queueName,type,stallName,position
S/18/574,M,Q1,P,SL1,1
S/18/580,M,Q1,P,SL1,2
S/18/588,M,Q1,P,SL1,3
S/18/597,M,Q1,P,SL1,4
S/18/091,M,Q1,P,SL1,5
S/18/599,M,Q1,P,SL1,6
S/18/541,M,Q1,P,SL1,7
S/18/602,M,Q1,P,SL1,8
S/18/818,M,Q1,P,SL1,9
S/17/802,M,Q1,P,SL1,10
S/18/822,M,Q1,P,SL1,11
S/18/848,M,Q1,P,SL1,12
S/18/827,M,Q1,P,SL1,13
S/18/840,M,Q1,P,SL1,14
S/18/819,M,Q1,P,SL1,15
S/18/823,M,Q1,P,SL1,16
S/18/412,M,Q1,P,SL1,17
S/18/445,M,Q1,P,SL1,18
S/19/500,M,Q1,P,SL1,19
S/18/812,A,Q1,P,SL1,20
S/18/836,A,Q1,P,SL1,21
S/18/806,A,Q1,P,SL1,22
S/18/842,A,Q1,P,SL1,23
S/18/814,A,Q1,P,SL1,24
S/18/841,A,Q1,P,SL1,25
S/18/843,A,Q1,P,SL1,26
S/18/803,A,Q1,P,SL1,27
S/18/834,A,Q1,P,SL1,28
S/19/SP/871,A,Q1,P,SL1,29
S/19/839,A,Q1,P,SL1,30
S/19/843,A,Q1,P,SL1,31
S/19/855,A,Q1,P,SL1,32
S/19/810,A,Q1,P,SL1,33
S/19/813,A,Q1,P,SL1,34
S/19/818,A,Q1,P,SL1,35
S/19/825,A,Q1,P,SL1,36
S/19/848,A,Q1,P,SL1,37
S/19/537,A,Q1,P,SL1,38
S/19/040,A,Q1,P,SL1,39
S/18/454,A,Q1,P,SL1,40
S/18/306,A,Q1,P,SL1,41
S/19/352,A,Q1,P,SL1,42
S/19/421,A,Q1,P,SL1,43
