name,companyName,roomName,queueCount
KL1,Kelun Life Sciences (Pvt) Ltd,Chemistry Auditorium (first floor),1
CG1,Celogen Lanka (Pvt) Ltd,Chemistry Auditorium (first floor),1
SA1,Sands Active (Pvt) Ltd,MBB New building (first floor),1
BRX1,Brandix Lanka (Pvt) Ltd,Physics Seminar room (New building first floor),3
MAS1,MAS Holdings (Pvt) Ltd,Physics smart room 1 (New building first floor),1
MAS2,MAS Holdings (Pvt) Ltd,Physics smart room 2 (New building first floor),1
CGN1,CodeGen International (Pvt) Ltd,Mathematics M5 (Ground floor),3
HCB1,Hemas Consumer Brands (Pvt) Ltd,PGIS new building block c 2.6,2
OC1,Octave (Pvt) Ltd,PGIS new building block c 2.5,2
EJ1,Emjay International (Pvt) Ltd,MBB New building (ground floor),1
LK1,Lankem (Pvt) Ltd,PGIS new building block c 2.4,2
HAY1,HayCarb PLC,SEU 209 (SEU first floor),1
NS1,North Sails (Pvt) Ltd,Chemistry New Auditorium (3rd floor),2
SL1,S-Lon Lanka (Pvt) Ltd,SEU 208 (SEU first floor),2
TW1,MAS Twinery (MAS Innovation (Pvt) Ltd),SEU 301 (SEU second floor),2
MT1,My Turn Internship Platform - Website Registration,Mathematics Computer Unit,1
