studentRegNo,session,queueName,type,stallName,position
S/18/454,M,Q1,P,TW1,1
S/18/517,M,Q1,P,TW1,2
S/18/523,M,Q1,P,TW1,3
S/18/524,M,Q1,P,TW1,4
S/18/528,M,Q1,P,TW1,5
S/18/313,M,Q1,P,TW1,6
S/18/334,M,Q1,P,TW1,7
S/18/474,M,Q1,P,TW1,8
S/18/552,M,Q1,P,TW1,9
S/17/499,M,Q1,P,TW1,10
S/19/416,M,Q1,P,TW1,11
S/19/429,M,Q1,P,TW1,12
S/19/453,M,Q1,P,TW1,13
S/19/352,M,Q1,P,TW1,14
S/19/408,M,Q1,P,TW1,15
S/19/350,M,Q1,P,TW1,16
S/19/543,M,Q1,P,TW1,17
S/19/421,M,Q1,P,TW1,18
S/19/212,M,Q1,P,TW1,19
S/18/092,M,Q1,P,TW1,20
S/18/331,A,Q1,P,TW1,21
S/18/427,A,Q1,P,TW1,22
S/18/317,A,Q1,P,TW1,23
S/18/412,A,Q1,P,TW1,24
S/18/565,A,Q1,P,TW1,25
S/18/336,A,Q1,P,TW1,26
S/18/508,A,Q1,P,TW1,27
S/18/465,A,Q1,P,TW1,28
S/18/469,A,Q1,P,TW1,29
S/19/515,A,Q1,P,TW1,30
S/19/522,A,Q1,P,TW1,31
S/19/524,A,Q1,P,TW1,32
S/18/416,A,Q1,P,TW1,33
S/19/527,A,Q1,P,TW1,34
S/19/538,A,Q1,P,TW1,35
S/19/577,A,Q1,P,TW1,36
S/19/025,A,Q1,P,TW1,37
S/19/202,A,Q1,P,TW1,38
S/18/306,M,Q2,P,TW1,1
S/18/530,M,Q2,P,TW1,2
S/18/533,M,Q2,P,TW1,3
S/18/553,M,Q2,P,TW1,4
S/18/378,M,Q2,P,TW1,5
S/18/391,M,Q2,P,TW1,6
S/18/400,M,Q2,P,TW1,7
S/18/368,M,Q2,P,TW1,8
S/18/472,M,Q2,P,TW1,9
S/18/460,M,Q2,P,TW1,10
S/19/465,M,Q2,P,TW1,11
S/19/478,M,Q2,P,TW1,12
S/19/509,M,Q2,P,TW1,13
S/19/541,M,Q2,P,TW1,14
S/19/564,M,Q2,P,TW1,15
S/19/585,M,Q2,P,TW1,16
S/19/444,M,Q2,P,TW1,17
S/19/107,M,Q2,P,TW1,18
S/19/214,M,Q2,P,TW1,19
S/19/067,M,Q2,P,TW1,20
S/18/030,A,Q2,P,TW1,21
S/18/484,A,Q2,P,TW1,22
S/18/338,A,Q2,P,TW1,23
S/18/445,A,Q2,P,TW1,24
S/18/389,A,Q2,P,TW1,25
S/18/478,A,Q2,P,TW1,26
S/18/480,A,Q2,P,TW1,27
S/18/575,A,Q2,P,TW1,28
S/19/579,A,Q2,P,TW1,29
S/19/969,A,Q2,P,TW1,30
S/17/308,A,Q2,P,TW1,31
S/18/340,A,Q2,P,TW1,32
S/19/390,A,Q2,P,TW1,33
S/19/403,A,Q2,P,TW1,34
S/19/416,A,Q2,P,TW1,35
S/19/500,A,Q2,P,TW1,36
S/19/095,A,Q2,P,TW1,37
S/19/030,A,Q2,P,TW1,38
